,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) per head annual growth rates, percentage"
773,Outer London - West and North West,2022,4.9
774,Barnet,2017,-0.3
775,Barnet,2018,0.3
776,Barnet,2019,0.4
777,Barnet,2020,-11.4
778,Barnet,2021,10.0
779,Barnet,2022,5.6
780,Brent,2017,-0.9
781,Brent,2018,-3.1
782,Brent,2019,3.3
783,Brent,2020,-13.8
784,Brent,2021,7.7
785,Brent,2022,3.2
786,Ealing,2017,-3.9
787,Ealing,2018,-1.0
788,Ealing,2019,-1.8
789,Ealing,2020,-9.2
790,Ealing,2021,3.7
791,Ealing,2022,-2.4
792,Harrow and Hillingdon,2017,2.4
793,Harrow and Hillingdon,2018,0.0
794,Harrow and Hillingdon,2019,-1.5
795,Harrow and Hillingdon,2020,-28.0
796,Harrow and Hillingdon,2021,7.4
797,Harrow and Hillingdon,2022,4.0
798,Hounslow and Richmond upon Thames,2017,1.1
799,Hounslow and Richmond upon Thames,2018,0.9
800,Hounslow and Richmond upon Thames,2019,0.0
801,Hounslow and Richmond upon Thames,2020,-27.1
802,Hounslow and Richmond upon Thames,2021,3.6
803,Hounslow and Richmond upon Thames,2022,8.6
804,South East,2017,1.8
805,South East,2018,1.2
806,South East,2019,2.5
807,South East,2020,-7.9
808,South East,2021,5.6
809,South East,2022,3.8
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,1.2
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,2.7
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,2.9
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,-4.9
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,6.3
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,2.8
816,Berkshire,2017,1.5
817,Berkshire,2018,5.4
818,Berkshire,2019,3.8
819,Berkshire,2020,-0.9
820,Berkshire,2021,7.2
821,Berkshire,2022,3.9
822,Milton Keynes,2017,4.0
823,Milton Keynes,2018,0.1
824,Milton Keynes,2019,-1.9
825,Milton Keynes,2020,-11.0
826,Milton Keynes,2021,5.2
827,Milton Keynes,2022,-1.2
828,Buckinghamshire CC,2017,-0.8
829,Buckinghamshire CC,2018,0.5
830,Buckinghamshire CC,2019,4.1
831,Buckinghamshire CC,2020,-8.5
832,Buckinghamshire CC,2021,6.2
833,Buckinghamshire CC,2022,1.8
834,Oxfordshire CC,2017,-0.2
835,Oxfordshire CC,2018,1.1
836,Oxfordshire CC,2019,3.3
837,Oxfordshire CC,2020,-5.2
838,Oxfordshire CC,2021,4.5
839,Oxfordshire CC,2022,3.6
840,"Surrey, East and West Sussex",2017,1.9
841,"Surrey, East and West Sussex",2018,-0.1
842,"Surrey, East and West Sussex",2019,1.7
843,"Surrey, East and West Sussex",2020,-9.6
844,"Surrey, East and West Sussex",2021,5.1
845,"Surrey, East and West Sussex",2022,4.5
846,Brighton and Hove,2017,4.5
847,Brighton and Hove,2018,3.4
848,Brighton and Hove,2019,2.6
849,Brighton and Hove,2020,-6.9
850,Brighton and Hove,2021,9.8
851,Brighton and Hove,2022,10.5
852,East Sussex CC,2017,1.3
853,East Sussex CC,2018,-0.8
854,East Sussex CC,2019,1.7
855,East Sussex CC,2020,-9.2
856,East Sussex CC,2021,9.5
857,East Sussex CC,2022,1.5
858,West Surrey,2017,1.0
859,West Surrey,2018,1.0
860,West Surrey,2019,2.9
861,West Surrey,2020,-5.7
862,West Surrey,2021,3.2
863,West Surrey,2022,-0.4
864,East Surrey,2017,0.5
865,East Surrey,2018,-6.9
866,East Surrey,2019,-0.7
867,East Surrey,2020,-12.0
868,East Surrey,2021,5.8
869,East Surrey,2022,8.3
870,West Sussex (South West),2017,4.7
871,West Sussex (South West),2018,1.5
872,West Sussex (South West),2019,1.4
873,West Sussex (South West),2020,-8.1
874,West Sussex (South West),2021,7.1
875,West Sussex (South West),2022,5.4
876,West Sussex (North East),2017,2.5
877,West Sussex (North East),2018,2.1
878,West Sussex (North East),2019,0.1
879,West Sussex (North East),2020,-19.0
880,West Sussex (North East),2021,4.8
881,West Sussex (North East),2022,5.2
882,Hampshire and Isle of Wight,2017,3.1
883,Hampshire and Isle of Wight,2018,0.9
884,Hampshire and Isle of Wight,2019,3.5
885,Hampshire and Isle of Wight,2020,-9.9
886,Hampshire and Isle of Wight,2021,5.8
887,Hampshire and Isle of Wight,2022,4.5
888,Portsmouth,2017,4.9
889,Portsmouth,2018,0.0
890,Portsmouth,2019,6.2
891,Portsmouth,2020,-8.3
892,Portsmouth,2021,8.1
893,Portsmouth,2022,5.7
894,Southampton,2017,6.9
895,Southampton,2018,5.1
896,Southampton,2019,-1.4
897,Southampton,2020,-12.7
898,Southampton,2021,10.4
899,Southampton,2022,6.1
900,Isle of Wight,2017,2.3
901,Isle of Wight,2018,-1.3
902,Isle of Wight,2019,3.7
903,Isle of Wight,2020,-10.0
904,Isle of Wight,2021,8.1
905,Isle of Wight,2022,8.0
906,South Hampshire,2017,1.7
907,South Hampshire,2018,-4.4
908,South Hampshire,2019,1.9
909,South Hampshire,2020,-8.8
910,South Hampshire,2021,5.6
911,South Hampshire,2022,1.8
912,Central Hampshire,2017,2.5
913,Central Hampshire,2018,0.4
914,Central Hampshire,2019,2.8
915,Central Hampshire,2020,-11.2
916,Central Hampshire,2021,7.4
917,Central Hampshire,2022,3.7
918,North Hampshire,2017,2.1
919,North Hampshire,2018,4.1
920,North Hampshire,2019,6.8
921,North Hampshire,2020,-7.4
922,North Hampshire,2021,2.1
923,North Hampshire,2022,2.7
924,Kent,2017,1.0
925,Kent,2018,0.9
926,Kent,2019,1.8
927,Kent,2020,-8.6
928,Kent,2021,4.7
929,Kent,2022,3.9
930,Medway,2017,3.0
931,Medway,2018,0.5
932,Medway,2019,3.6
933,Medway,2020,-6.0
934,Medway,2021,1.7
935,Medway,2022,5.3
936,Kent Thames Gateway,2017,-3.7
937,Kent Thames Gateway,2018,0.1
938,Kent Thames Gateway,2019,2.1
939,Kent Thames Gateway,2020,-8.3
940,Kent Thames Gateway,2021,8.3
941,Kent Thames Gateway,2022,-3.4
942,East Kent,2017,2.9
943,East Kent,2018,0.8
944,East Kent,2019,-0.2
945,East Kent,2020,-10.7
946,East Kent,2021,6.4
947,East Kent,2022,6.9
948,Mid Kent,2017,-0.1
949,Mid Kent,2018,0.8
950,Mid Kent,2019,3.8
951,Mid Kent,2020,-10.0
952,Mid Kent,2021,5.0
953,Mid Kent,2022,2.7
954,West Kent,2017,2.5
955,West Kent,2018,2.4
956,West Kent,2019,1.4
957,West Kent,2020,-6.3
958,West Kent,2021,4.8
959,West Kent,2022,2.1
960,South West,2017,2.8
961,South West,2018,0.1
962,South West,2019,1.3
963,South West,2020,-11.2
964,South West,2021,11.3
965,South West,2022,3.3
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,2.1
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,0.2
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,1.6
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,-10.3
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,9.6
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,3.0
972,"Bristol, City of",2017,4.1
973,"Bristol, City of",2018,-3.7
974,"Bristol, City of",2019,1.9
975,"Bristol, City of",2020,-12.1
976,"Bristol, City of",2021,16.8
977,"Bristol, City of",2022,4.3
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,0.8
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,1.4
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,2.2
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,-7.8
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,7.4
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,4.6
984,Gloucestershire CC,2017,4.7
985,Gloucestershire CC,2018,0.8
986,Gloucestershire CC,2019,2.7
987,Gloucestershire CC,2020,-9.9
988,Gloucestershire CC,2021,8.3
989,Gloucestershire CC,2022,-1.3
990,Swindon,2017,-1.3
991,Swindon,2018,2.5
992,Swindon,2019,-0.2
993,Swindon,2020,-12.0
994,Swindon,2021,2.8
995,Swindon,2022,8.0
996,Wiltshire,2017,0.6
997,Wiltshire,2018,1.0
998,Wiltshire,2019,0.6
999,Wiltshire,2020,-10.5
1000,Wiltshire,2021,9.0
1001,Wiltshire,2022,4.3
1002,Dorset and Somerset,2017,4.2
1003,Dorset and Somerset,2018,0.6
1004,Dorset and Somerset,2019,0.7
1005,Dorset and Somerset,2020,-9.9
1006,Dorset and Somerset,2021,8.3
1007,Dorset and Somerset,2022,3.4
1008,Somerset CC,2017,4.8
1009,Somerset CC,2018,1.2
1010,Somerset CC,2019,0.1
1011,Somerset CC,2020,-9.2
1012,Somerset CC,2021,5.9
1013,Somerset CC,2022,3.9
1014,"Bournemouth, Christchurch and Poole",2017,6.0
1015,"Bournemouth, Christchurch and Poole",2018,-1.8
1016,"Bournemouth, Christchurch and Poole",2019,1.4
1017,"Bournemouth, Christchurch and Poole",2020,-10.6
1018,"Bournemouth, Christchurch and Poole",2021,10.4
1019,"Bournemouth, Christchurch and Poole",2022,2.4
1020,Dorset,2017,2.4
1021,Dorset,2018,0.6
1022,Dorset,2019,1.1
1023,Dorset,2020,-9.1
1024,Dorset,2021,8.0
1025,Dorset,2022,2.4
1026,Cornwall and Isles of Scilly,2017,4.4
1027,Cornwall and Isles of Scilly,2018,0.4
1028,Cornwall and Isles of Scilly,2019,0.7
1029,Cornwall and Isles of Scilly,2020,-13.2
1030,Cornwall and Isles of Scilly,2021,15.8
1031,Cornwall and Isles of Scilly,2022,3.7
1032,Cornwall and Isles of Scilly,2017,4.5
1033,Cornwall and Isles of Scilly,2018,0.4
1034,Cornwall and Isles of Scilly,2019,0.8
1035,Cornwall and Isles of Scilly,2020,-13.1
1036,Cornwall and Isles of Scilly,2021,15.1
1037,Cornwall and Isles of Scilly,2022,4.1
1038,Devon,2017,2.7
1039,Devon,2018,-0.8
1040,Devon,2019,1.4
1041,Devon,2020,-14.7
1042,Devon,2021,18.2
1043,Devon,2022,3.7
1044,Plymouth,2017,1.6
1045,Plymouth,2018,0.9
1046,Plymouth,2019,1.2
1047,Plymouth,2020,-14.5
1048,Plymouth,2021,15.9
1049,Plymouth,2022,6.0
1050,Torbay,2017,-0.8
1051,Torbay,2018,-4.3
1052,Torbay,2019,1.5
1053,Torbay,2020,-17.2
1054,Torbay,2021,23.7
1055,Torbay,2022,5.3
1056,Devon CC,2017,3.2
1057,Devon CC,2018,-0.8
1058,Devon CC,2019,1.1
1059,Devon CC,2020,-14.1
1060,Devon CC,2021,17.3
1061,Devon CC,2022,3.4
1062,Wales,2017,1.8
1063,Wales,2018,2.5
1064,Wales,2019,1.4
1065,Wales,2020,-11.2
1066,Wales,2021,5.2
1067,Wales,2022,2.9
1068,West Wales and The Valleys,2017,2.2
1069,West Wales and The Valleys,2018,2.3
1070,West Wales and The Valleys,2019,1.3
1071,West Wales and The Valleys,2020,-13.6
1072,West Wales and The Valleys,2021,7.5
1073,West Wales and The Valleys,2022,3.4
1074,Isle of Anglesey,2017,1.2
1075,Isle of Anglesey,2018,3.7
1076,Isle of Anglesey,2019,3.7
1077,Isle of Anglesey,2020,-18.6
1078,Isle of Anglesey,2021,14.0
1079,Isle of Anglesey,2022,9.3
1080,Gwynedd,2017,4.1
1081,Gwynedd,2018,0.8
1082,Gwynedd,2019,1.5
1083,Gwynedd,2020,-19.6
1084,Gwynedd,2021,16.3
1085,Gwynedd,2022,1.8
1086,Conwy and Denbighshire,2017,5.4
1087,Conwy and Denbighshire,2018,0.2
1088,Conwy and Denbighshire,2019,-0.1
1089,Conwy and Denbighshire,2020,-14.0
1090,Conwy and Denbighshire,2021,7.9
1091,Conwy and Denbighshire,2022,4.5
1092,South West Wales,2017,-0.8
1093,South West Wales,2018,1.4
1094,South West Wales,2019,0.2
1095,South West Wales,2020,-16.5
1096,South West Wales,2021,10.1
1097,South West Wales,2022,6.0
1098,Central Valleys,2017,1.0
1099,Central Valleys,2018,1.7
1100,Central Valleys,2019,0.1
1101,Central Valleys,2020,-11.9
1102,Central Valleys,2021,7.7
1103,Central Valleys,2022,4.3
1104,Gwent Valleys,2017,2.9
1105,Gwent Valleys,2018,4.0
1106,Gwent Valleys,2019,2.4
1107,Gwent Valleys,2020,-9.8
1108,Gwent Valleys,2021,7.9
1109,Gwent Valleys,2022,2.2
1110,Bridgend and Neath Port Talbot,2017,2.6
1111,Bridgend and Neath Port Talbot,2018,1.7
1112,Bridgend and Neath Port Talbot,2019,3.4
1113,Bridgend and Neath Port Talbot,2020,-12.2
1114,Bridgend and Neath Port Talbot,2021,7.4
1115,Bridgend and Neath Port Talbot,2022,-0.1
1116,Swansea,2017,4.3
1117,Swansea,2018,5.2
1118,Swansea,2019,1.0
1119,Swansea,2020,-12.4
1120,Swansea,2021,3.9
1121,Swansea,2022,-1.2
1122,East Wales,2017,1.2
1123,East Wales,2018,2.7
1124,East Wales,2019,1.4
1125,East Wales,2020,-8.3
1126,East Wales,2021,2.5
1127,East Wales,2022,2.2
1128,Monmouthshire and Newport,2017,0.8
1129,Monmouthshire and Newport,2018,4.6
1130,Monmouthshire and Newport,2019,-0.4
1131,Monmouthshire and Newport,2020,-11.3
1132,Monmouthshire and Newport,2021,2.8
1133,Monmouthshire and Newport,2022,1.8
1134,Cardiff and Vale of Glamorgan,2017,1.7
1135,Cardiff and Vale of Glamorgan,2018,1.2
1136,Cardiff and Vale of Glamorgan,2019,1.8
1137,Cardiff and Vale of Glamorgan,2020,-8.0
1138,Cardiff and Vale of Glamorgan,2021,4.3
1139,Cardiff and Vale of Glamorgan,2022,0.9
1140,Flintshire and Wrexham,2017,0.5
1141,Flintshire and Wrexham,2018,4.0
1142,Flintshire and Wrexham,2019,2.6
1143,Flintshire and Wrexham,2020,-6.7
1144,Flintshire and Wrexham,2021,4.7
1145,Flintshire and Wrexham,2022,2.6
1146,Powys,2017,-0.9
1147,Powys,2018,0.6
1148,Powys,2019,-0.7
1149,Powys,2020,-11.1
1150,Powys,2021,2.5
1151,Powys,2022,4.6
1152,Scotland,2017,2.6
1153,Scotland,2018,-0.1
1154,Scotland,2019,1.0
1155,Scotland,2020,-12.5
1156,Scotland,2021,9.1
1157,Scotland,2022,3.8
1158,North Eastern Scotland,2017,-2.4
1159,North Eastern Scotland,2018,-2.6
1160,North Eastern Scotland,2019,0.1
1161,North Eastern Scotland,2020,-14.5
1162,North Eastern Scotland,2021,4.8
1163,North Eastern Scotland,2022,5.3
1164,Aberdeen City and Aberdeenshire,2017,-2.6
1165,Aberdeen City and Aberdeenshire,2018,-2.5
1166,Aberdeen City and Aberdeenshire,2019,-0.1
1167,Aberdeen City and Aberdeenshire,2020,-14.5
1168,Aberdeen City and Aberdeenshire,2021,4.7
1169,Aberdeen City and Aberdeenshire,2022,5.7
1170,Highlands and Islands,2017,5.1
1171,Highlands and Islands,2018,-0.3
1172,Highlands and Islands,2019,1.3
1173,Highlands and Islands,2020,-12.4
1174,Highlands and Islands,2021,5.5
1175,Highlands and Islands,2022,[u]
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,5.3
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,-0.2
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,3.5
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,-10.2
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,6.6
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,[u]
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,5.5
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,0.1
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,-0.9
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,-13.2
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,6.4
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,[u]
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,5.3
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,-0.6
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,2.5
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,-13.2
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,4.7
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,[u]
1194,Na h-Eileanan Siar,2017,2
1195,Na h-Eileanan Siar,2018,4.5
1196,Na h-Eileanan Siar,2019,5.7
1197,Na h-Eileanan Siar,2020,-8.5
1198,Na h-Eileanan Siar,2021,7.3
1199,Na h-Eileanan Siar,2022,-3.7
1200,Orkney Islands,2017,-1.9
1201,Orkney Islands,2018,-8.5
1202,Orkney Islands,2019,2.6
1203,Orkney Islands,2020,-12
1204,Orkney Islands,2021,3.5
1205,Orkney Islands,2022,4.4
1206,Shetland Islands,2017,3.2
1207,Shetland Islands,2018,-1.2
1208,Shetland Islands,2019,3.5
1209,Shetland Islands,2020,-11.4
1210,Shetland Islands,2021,-1.1
1211,Shetland Islands,2022,-0.7
1212,Eastern Scotland,2017,2.8
1213,Eastern Scotland,2018,0.6
1214,Eastern Scotland,2019,1.1
1215,Eastern Scotland,2020,-12.4
1216,Eastern Scotland,2021,10.3
1217,Eastern Scotland,2022,3.6
1218,Angus and Dundee City,2017,1.2
1219,Angus and Dundee City,2018,1.1
1220,Angus and Dundee City,2019,3.2
1221,Angus and Dundee City,2020,-15.8
1222,Angus and Dundee City,2021,13.1
1223,Angus and Dundee City,2022,4.3
1224,Clackmannanshire and Fife,2017,2.5
1225,Clackmannanshire and Fife,2018,-1.1
1226,Clackmannanshire and Fife,2019,0.8
1227,Clackmannanshire and Fife,2020,-8.3
1228,Clackmannanshire and Fife,2021,8.1
1229,Clackmannanshire and Fife,2022,3.1
1230,East Lothian and Midlothian,2017,2.2
1231,East Lothian and Midlothian,2018,0.9
1232,East Lothian and Midlothian,2019,0.8
1233,East Lothian and Midlothian,2020,-12.1
1234,East Lothian and Midlothian,2021,9.8
1235,East Lothian and Midlothian,2022,1.9
1236,City of Edinburgh,2017,4.4
1237,City of Edinburgh,2018,1
1238,City of Edinburgh,2019,0.6
1239,City of Edinburgh,2020,-13.9
1240,City of Edinburgh,2021,10.6
1241,City of Edinburgh,2022,6.8
1242,Falkirk,2017,-0.1
1243,Falkirk,2018,1.5
1244,Falkirk,2019,0.3
1245,Falkirk,2020,-14.3
1246,Falkirk,2021,11
1247,Falkirk,2022,-0.8
1248,"Perth and Kinross, and Stirling",2017,1.6
1249,"Perth and Kinross, and Stirling",2018,-2.7
1250,"Perth and Kinross, and Stirling",2019,1.4
1251,"Perth and Kinross, and Stirling",2020,-14.3
1252,"Perth and Kinross, and Stirling",2021,7.2
1253,"Perth and Kinross, and Stirling",2022,-0.4
1254,West Lothian,2017,2.5
1255,West Lothian,2018,3.9
1256,West Lothian,2019,1
1257,West Lothian,2020,-4.9
1258,West Lothian,2021,11.3
1259,West Lothian,2022,5.2
1260,West Central Scotland,2017,4.1
1261,West Central Scotland,2018,0.4
1262,West Central Scotland,2019,1.6
1263,West Central Scotland,2020,-11.4
1264,West Central Scotland,2021,11.3
1265,West Central Scotland,2022,[u]
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,4.2
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,1.5
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,1.5
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,-13.8
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,8.5
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,[u]
1272,Glasgow City,2017,3.5
1273,Glasgow City,2018,0.2
1274,Glasgow City,2019,2
1275,Glasgow City,2020,-10.9
1276,Glasgow City,2021,11.2
1277,Glasgow City,2022,6
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,3.5
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,-0.1
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,-0.3
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,-13.2
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,11.4
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,-0.8
1284,North Lanarkshire,2017,5.1
1285,North Lanarkshire,2018,0.7
1286,North Lanarkshire,2019,1.4
1287,North Lanarkshire,2020,-10.9
1288,North Lanarkshire,2021,8.9
1289,North Lanarkshire,2022,4.2
1290,Southern Scotland,2017,2.1
1291,Southern Scotland,2018,-1.1
1292,Southern Scotland,2019,0.4
1293,Southern Scotland,2020,-13.6
1294,Southern Scotland,2021,6.7
1295,Southern Scotland,2022,[u]
1296,Scottish Borders,2017,1.4
1297,Scottish Borders,2018,1.9
1298,Scottish Borders,2019,0.8
1299,Scottish Borders,2020,-13.4
1300,Scottish Borders,2021,8.9
1301,Scottish Borders,2022,-3.3
1302,Dumfries and Galloway,2017,2.7
1303,Dumfries and Galloway,2018,-1.6
1304,Dumfries and Galloway,2019,2.2
1305,Dumfries and Galloway,2020,-13.1
1306,Dumfries and Galloway,2021,5.3
1307,Dumfries and Galloway,2022,2.4
1308,East Ayrshire and North Ayrshire mainland,2017,1.8
1309,East Ayrshire and North Ayrshire mainland,2018,-1.4
1310,East Ayrshire and North Ayrshire mainland,2019,0.5
1311,East Ayrshire and North Ayrshire mainland,2020,-10.6
1312,East Ayrshire and North Ayrshire mainland,2021,9.4
1313,East Ayrshire and North Ayrshire mainland,2022,[u]
1314,South Ayrshire,2017,2.4
1315,South Ayrshire,2018,0.4
1316,South Ayrshire,2019,-0.9
1317,South Ayrshire,2020,-18.2
1318,South Ayrshire,2021,6.5
1319,South Ayrshire,2022,8.5
1320,South Lanarkshire,2017,2.5
1321,South Lanarkshire,2018,-2.7
1322,South Lanarkshire,2019,-0.8
1323,South Lanarkshire,2020,-13.3
1324,South Lanarkshire,2021,4.6
1325,South Lanarkshire,2022,6.2
1326,Northern Ireland,2017,1.3
1327,Northern Ireland,2018,-0.3
1328,Northern Ireland,2019,1.9
1329,Northern Ireland,2020,-12.3
1330,Northern Ireland,2021,11.6
1331,Northern Ireland,2022,2.7
1332,Northern Ireland,2017,1.3
1333,Northern Ireland,2018,-0.3
1334,Northern Ireland,2019,1.9
1335,Northern Ireland,2020,-12.3
1336,Northern Ireland,2021,11.6
1337,Northern Ireland,2022,2.7
1338,Belfast,2017,5.2
1339,Belfast,2018,0.2
1340,Belfast,2019,0.6
1341,Belfast,2020,-12.6
1342,Belfast,2021,15.2
1343,Belfast,2022,2.5
1344,"Armagh City, Banbridge and Craigavon",2017,0.1
1345,"Armagh City, Banbridge and Craigavon",2018,2.4
1346,"Armagh City, Banbridge and Craigavon",2019,1.7
1347,"Armagh City, Banbridge and Craigavon",2020,-13.9
1348,"Armagh City, Banbridge and Craigavon",2021,11.4
1349,"Armagh City, Banbridge and Craigavon",2022,1.8
1350,"Newry, Mourne and Down",2017,0.9
1351,"Newry, Mourne and Down",2018,0.6
1352,"Newry, Mourne and Down",2019,3.1
1353,"Newry, Mourne and Down",2020,-11.1
1354,"Newry, Mourne and Down",2021,8
1355,"Newry, Mourne and Down",2022,3.2
1356,Ards and North Down,2017,2
1357,Ards and North Down,2018,0.6
1358,Ards and North Down,2019,1.7
1359,Ards and North Down,2020,-11.6
1360,Ards and North Down,2021,6.9
1361,Ards and North Down,2022,0.2
1362,Derry City and Strabane,2017,4
1363,Derry City and Strabane,2018,0.6
1364,Derry City and Strabane,2019,4.5
1365,Derry City and Strabane,2020,-9.6
1366,Derry City and Strabane,2021,8.4
1367,Derry City and Strabane,2022,5.8
1368,Mid Ulster,2017,0.3
1369,Mid Ulster,2018,4.8
1370,Mid Ulster,2019,3.5
1371,Mid Ulster,2020,-11.7
1372,Mid Ulster,2021,11.1
1373,Mid Ulster,2022,3
1374,Causeway Coast and Glens,2017,2
1375,Causeway Coast and Glens,2018,-3
1376,Causeway Coast and Glens,2019,0.4
1377,Causeway Coast and Glens,2020,-13.5
1378,Causeway Coast and Glens,2021,11.3
1379,Causeway Coast and Glens,2022,2.7
1380,Antrim and Newtownabbey,2017,3.7
1381,Antrim and Newtownabbey,2018,-0.3
1382,Antrim and Newtownabbey,2019,1.9
1383,Antrim and Newtownabbey,2020,-14.8
1384,Antrim and Newtownabbey,2021,11.7
1385,Antrim and Newtownabbey,2022,1.2
1386,Lisburn and Castlereagh,2017,0.2
1387,Lisburn and Castlereagh,2018,1.7
1388,Lisburn and Castlereagh,2019,2.5
1389,Lisburn and Castlereagh,2020,-15.4
1390,Lisburn and Castlereagh,2021,12.5
1391,Lisburn and Castlereagh,2022,4.4
1392,Mid and East Antrim,2017,-14.2
1393,Mid and East Antrim,2018,-14.9
1394,Mid and East Antrim,2019,1.6
1395,Mid and East Antrim,2020,-8
1396,Mid and East Antrim,2021,5.4
1397,Mid and East Antrim,2022,0.7
1398,Fermanagh and Omagh,2017,2.9
1399,Fermanagh and Omagh,2018,2.3
1400,Fermanagh and Omagh,2019,1.8
1401,Fermanagh and Omagh,2020,-10.7
1402,Fermanagh and Omagh,2021,10.8
1403,Fermanagh and Omagh,2022,1.7
1404,Extra-Regio,2017,[z]
1405,Extra-Regio,2018,[z]
1406,Extra-Regio,2019,[z]
1407,Extra-Regio,2020,[z]
1408,Extra-Regio,2021,[z]
1409,Extra-Regio,2022,[z]
1410,United Kingdom less Extra-Regio,2017,2.1
1411,United Kingdom less Extra-Regio,2018,0.8
1412,United Kingdom less Extra-Regio,2019,1.1
1413,United Kingdom less Extra-Regio,2020,-11
1414,United Kingdom less Extra-Regio,2021,9.1
1415,United Kingdom less Extra-Regio,2022,3.2
